CITY,year_updated,last_updated_color,population,area
FAIRFAX,2015,2,7441,5.70706867638213
FAIRFIELD,2016,2,105321,106.66847162919
FARMERSVILLE,2016,2,10588,5.84929047691723
FERNDALE,2016.0,2,1371,2.65892837768536
FILLMORE,2014,3,15002,8.71476259582368
FIREBAUGH,2010,3,7549,9.252130388713
FOLSOM,2018,2,72203,77.8699293719795
FONTANA,2018,2,196069,111.41886407128
FORT BRAGG,2019,2,7273,7.20663473264717
FORT JONES,2014,3,839,1.55987848926448
FORTUNA,2010,3,11926,12.5491342299278
FOSTER CITY,2016,2,30567,51.3868324236634
FOUNTAIN VALLEY,2014,3,55313,23.5308884593769
FOWLER,2015,2,5570,6.51739544030211
FREMONT,2014,3,214089,226.924664773044
FRESNO,2017,2,494665,296.999656298849
FULLERTON,2020,1,135161,58.1288965538536
GALT,2016,2,23647,15.5616153882849
GARDEN GROVE,2013,3,170883,46.554838753815
GARDENA,2020,1,58829,15.1910859731828
GILROY,2020,1,48821,41.8347628615508
GLENDALE,2014.0,2,191719,79.1557484831863
GLENDORA,2013.0,3,50073,50.6549197392077
GOLETA,2006,4,29888,20.5267410502992
GONZALES,2018,2,8187,4.99453071277209
GRAND TERRACE,2010.0,3,12040,9.07091336713649
GRASS VALLEY,2020,1,12860,12.2846590520394
GREENFIELD,2014,3,16330,5.53025038221498
GRIDLEY,2009,4,6584,5.36218561132977
GROVER BEACH,2020,1,13156,5.9945205011743
GUADALUPE,2002,4,7080,3.40505553342583
GUSTINE,2017,2,5520,4.0170177410596
HALF MOON BAY,2015,2,11324,16.6876644638336
HANFORD,2017,2,53967,43.521451119646
HAWAIIAN GARDENS,2010,3,14254,2.48582580628786
HAWTHORNE,2018,2,84293,15.779298309244
HAYWARD,2014,3,144186,165.307811585828
HEALDSBURG,2015,2,11254,11.560829538961
HEMET,2012,3,78657,71.8510884342662
HERCULES,2015,2,24060,51.7614399763979
HERMOSA BEACH,2017,2,19506,3.694745209531
HESPERIA,2010,3,90173,189.611063677797
HIDDEN HILLS,1995,4,1856,4.37344945023918
HIGHLAND,2013.0,3,53104,48.9238036055143
HILLSBOROUGH,2014,3,10825,16.0323312502368
HOLLISTER,2016,2,34928,18.9699284318469
HOLTVILLE,2017,2,5939,2.98563167507603
HUGHSON,2015,2,6640,5.03267345455596
HUNTINGTON BEACH,2020,1,189992,83.2021143484364
HUNTINGTON PARK,2016,2,58114,7.81082394155476
HURON,2007,4,6754,4.12076632709595
IMPERIAL,2019,2,14758,15.1681970394026
